dimension,n_physical,physical_hilbert_dimension,fill_ratio,delay_dt,dt_ns,backend_name,shots,state_family,correction_mode,simulation_lane,probe_ensemble_size,fidelity,leakage,in_subspace_fidelity,avg_probe_fidelity,avg_probe_leakage,avg_probe_in_subspace_fidelity,observed_fidelity,observed_leakage,observed_in_subspace_fidelity,observed_avg_probe_fidelity,observed_avg_probe_leakage,observed_avg_probe_in_subspace_fidelity,confidence_level,bootstrap_samples,avg_probe_fidelity_bootstrap_mean,avg_probe_leakage_bootstrap_mean,avg_probe_in_subspace_fidelity_bootstrap_mean,avg_probe_fidelity_ci_low,avg_probe_fidelity_ci_high,avg_probe_leakage_ci_low,avg_probe_leakage_ci_high,avg_probe_in_subspace_fidelity_ci_low,avg_probe_in_subspace_fidelity_ci_high,fidelity_ci_low,fidelity_ci_high,leakage_ci_low,leakage_ci_high,in_subspace_fidelity_ci_low,in_subspace_fidelity_ci_high
2,2,4,0.5,0,0.0,ibm_fez,256,canonical_probe_average,dynamic,ibm_runtime,3.0,0.8863992091647276,0.06577328071622632,0.9488001621967596,0.8863992091647276,0.06577328071622632,0.9488001621967596,0.8976070138167151,0.059210338724545175,0.9541293966534615,0.8976070138167151,0.059210338724545175,0.9541293966534615,0.95,100,0.8863992091647276,0.06577328071622632,0.9488001621967596,0.8663034547493668,0.9048538699871789,0.051937830263441634,0.07910219270869863,0.9357921713236508,0.9629158103225618,0.8663034547493668,0.9048538699871789,0.051937830263441634,0.07910219270869863,0.9357921713236508,0.9629158103225618
2,2,4,0.5,64,256.0,ibm_fez,256,canonical_probe_average,dynamic,ibm_runtime,3.0,0.8367358080424444,0.0576804734408354,0.8863895233493444,0.8367358080424444,0.0576804734408354,0.8863895233493444,0.8439697419901039,0.05052499594428458,0.8871995156883744,0.8439697419901039,0.05052499594428458,0.8871995156883744,0.95,100,0.8367358080424444,0.0576804734408354,0.8863895233493444,0.8167346595409348,0.8569712513261316,0.04690586796891261,0.06769393120202023,0.8685400911988461,0.9083410155834469,0.8167346595409348,0.8569712513261316,0.04690586796891261,0.06769393120202023,0.8685400911988461,0.9083410155834469
2,2,4,0.5,128,512.0,ibm_fez,256,canonical_probe_average,dynamic,ibm_runtime,3.0,0.8220268259320833,0.06411073637534412,0.8785827398108443,0.8220268259320833,0.06411073637534412,0.8785827398108443,0.8300812710498452,0.05755854738872449,0.8811501403064739,0.8300812710498452,0.05755854738872449,0.8811501403064739,0.95,100,0.8220268259320833,0.06411073637534412,0.8785827398108443,0.803188385068433,0.8481470782126506,0.04953178973317786,0.08154946529418979,0.8580811864233061,0.8998497835318262,0.803188385068433,0.8481470782126506,0.04953178973317786,0.08154946529418979,0.8580811864233061,0.8998497835318262
3,2,4,0.75,0,0.0,ibm_fez,256,canonical_probe_average,dynamic,ibm_runtime,4.0,0.8696904380873778,0.03472995151474265,0.9009105761246881,0.8696904380873778,0.03472995151474265,0.9009105761246881,0.8816575453254698,0.030399958582100123,0.9092389356468551,0.8816575453254698,0.030399958582100123,0.9092389356468551,0.95,100,0.8696904380873778,0.03472995151474265,0.9009105761246881,0.8494568690790738,0.8827356550051318,0.024844678829687373,0.04363810862387699,0.885373028092101,0.9160717401133974,0.8494568690790738,0.8827356550051318,0.024844678829687373,0.04363810862387699,0.885373028092101,0.9160717401133974
3,2,4,0.75,64,256.0,ibm_fez,256,canonical_probe_average,dynamic,ibm_runtime,4.0,0.8281329928502394,0.030717180971743266,0.8545193885287796,0.8281329928502394,0.030717180971743266,0.8545193885287796,0.8365624696718164,0.02720593814622954,0.8600878765246622,0.8365624696718164,0.02720593814622954,0.8600878765246622,0.95,100,0.8281329928502394,0.030717180971743266,0.8545193885287796,0.8109603568040428,0.8479267494561527,0.023948536438362394,0.037721975098045916,0.8367906091080101,0.872470781247664,0.8109603568040428,0.8479267494561527,0.023948536438362394,0.037721975098045916,0.8367906091080101,0.872470781247664
3,2,4,0.75,128,512.0,ibm_fez,256,canonical_probe_average,dynamic,ibm_runtime,4.0,0.8097246608799531,0.04419458965410955,0.8485096270980407,0.8097246608799531,0.04419458965410955,0.8485096270980407,0.813667075081928,0.041436931801894755,0.8503126223034467,0.813667075081928,0.041436931801894755,0.8503126223034467,0.95,100,0.8097246608799531,0.04419458965410955,0.8485096270980407,0.7873694868979544,0.8295108133039194,0.03355087638827353,0.05576930455414755,0.8323008554918601,0.8650720830554082,0.7873694868979544,0.8295108133039194,0.03355087638827353,0.05576930455414755,0.8323008554918601,0.8650720830554082
4,2,4,1.0,0,0.0,ibm_fez,256,canonical_probe_average,dynamic,ibm_runtime,5.0,0.8688478874281762,1.1679546219056647e-16,0.8688478874281761,0.8688478874281762,1.1679546219056647e-16,0.8688478874281761,0.8787992495250837,1.7763568394002506e-16,0.8787992495250837,0.8787992495250837,1.7763568394002506e-16,0.8787992495250837,0.95,100,0.8688478874281762,1.1679546219056647e-16,0.8688478874281761,0.8532266866656439,0.8831409761585028,0.0,3.2251978865360776e-16,0.8532266866656439,0.8831409761585027,0.8532266866656439,0.8831409761585028,0.0,3.2251978865360776e-16,0.8532266866656439,0.8831409761585027
4,2,4,1.0,64,256.0,ibm_fez,256,canonical_probe_average,dynamic,ibm_runtime,5.0,0.8345967149659259,1.4677148385544568e-16,0.8345967149659259,0.8345967149659259,1.4677148385544568e-16,0.8345967149659259,0.8448172898691313,4.2188474935755947e-16,0.8448172898691316,0.8448172898691313,4.2188474935755947e-16,0.8448172898691316,0.95,100,0.8345967149659259,1.4677148385544568e-16,0.8345967149659259,0.8178697016089607,0.8492614956948514,0.0,3.9968028886505636e-16,0.8178697016089607,0.8492614956948512,0.8178697016089607,0.8492614956948514,0.0,3.9968028886505636e-16,0.8178697016089607,0.8492614956948512
4,2,4,1.0,128,512.0,ibm_fez,256,canonical_probe_average,dynamic,ibm_runtime,5.0,0.8528998125185843,1.438849039914203e-16,0.8528998125185843,0.8528998125185843,1.438849039914203e-16,0.8528998125185843,0.8624648937037609,1.7763568394002506e-16,0.8624648937037609,0.8624648937037609,1.7763568394002506e-16,0.8624648937037609,0.95,100,0.8528998125185843,1.438849039914203e-16,0.8528998125185843,0.8392847104482012,0.8671788168399766,0.0,3.6692870963861406e-16,0.8392847104482011,0.8671788168399763,0.8392847104482012,0.8671788168399766,0.0,3.6692870963861406e-16,0.8392847104482011,0.8671788168399763
